,0
679,-0.7804871
680,1.4408948
681,1.4950563
682,1.0554539
683,3.3957355
684,1.6675733
685,1.6009874
686,-0.27656826
687,-0.06811468
688,0.28424135
689,2.0189252
690,1.9298413
691,-0.1948628
692,2.117784
693,-1.5377132
694,-0.96904016
695,-1.2001656
696,-0.32558253
697,-0.12893403
698,1.1783639
699,0.86455506
700,0.9224661
701,0.59067667
702,-0.0023830181
703,1.2552705
704,0.89104205
705,-0.36017358
706,0.51082426
707,-0.053987592
708,1.1180108
709,-0.5357528
710,1.198476
711,0.17834581
712,0.8944753
713,0.21780775
714,0.74310887
715,0.09107361
716,-0.78055894
717,-1.7312882
718,0.13259563
719,1.2072704
720,-0.7475209
721,-2.485651
722,0.46810493
723,-0.2950535
724,-0.09063092
725,-0.0031424223
726,-1.6386524
727,-0.34966797
728,-1.0657157
729,-0.3510003
730,-0.48362893
731,-0.574448
732,-1.5521554
733,0.84679145
734,1.9420892
735,1.7542117
736,1.4106992
737,3.0074925
738,1.7765658
739,3.1258962
740,4.5221176
741,4.0946784
742,3.2781427
743,1.6063826
744,1.0735365
745,3.0247052
746,2.6573853
747,1.26983
748,-1.0446461
749,0.34930798
750,2.4242635
751,3.3671997
752,3.499663
753,3.3849397
754,1.8135908
755,0.7268816
756,0.47689295
757,-0.031375688
758,2.045513
759,2.7220747
760,2.7884102
761,3.2718961
762,-0.7886973
763,1.0969521
764,-0.546022
765,2.1142476
766,1.5224612
767,0.3795907
768,1.3053876
769,-0.6388554
770,-1.4282572
771,1.2888595
772,-0.3289875
773,-1.7223611
774,-0.6699727
775,0.77651125
776,1.0005226
777,-0.06400997
778,1.9529835
779,2.5685058
780,0.40178794
781,1.3037202
782,1.8976269
783,0.9795425
784,2.1474962
785,1.115313
786,1.5041779
787,3.0223396
788,2.7110395
789,1.2319435
790,0.6946127
791,-1.3203527
792,-0.7702777
793,-0.20031685
794,-1.5343463
795,0.85514003
796,-1.5040905
797,1.1405969
798,-1.2146447
799,-2.7322474
800,-1.9323628
801,-0.36256474
802,0.69573414
803,0.7588718
804,-1.7675152
805,1.0913973
806,0.8966739
807,1.2040561
808,-0.07975744
809,-0.4268536
810,0.8043199
811,1.9697112
812,1.9334234
813,1.460089
814,0.29348475
815,1.8899833
816,2.763203
817,3.6567576
818,5.240058
819,1.9073244
820,3.5566564
821,3.504034
822,1.1767558
823,1.7462454
824,1.3563774
825,-0.17787725
826,0.6445111
827,1.0406092
828,0.9982162
829,0.7630388
830,1.8565952
831,0.16200963
832,1.2729279
833,-0.13562185
834,-0.05490743
835,0.10518977
836,0.669042
837,-1.5643923
838,-1.1266391
839,-0.70517385
840,-0.7834325
841,0.890497
842,1.5022429
843,1.5055097
